Unique Configs Across All WIS Services (Case-Sensitive),,,
Total unique: 642   |   Appearing in >1 service: 36   |   Total entries before dedup: 679   |   Matching: case-sensitive,,,
,,,
Property Name,Description,Service(s),Service Count
enableVisitorManagementOnApp,Enables visitor management in app.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enableVisitorParking,Enables parking for visitors (currently not in use).,Visitor Management Service,1
enableWaitlistBooking,Enables waitlist functionality in parking bookings.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
endHour,"This configuration defines the end time of the bookable time in the meeting room timeline - room level configuration. Integer value, 0-24.",MEETING ROOMS,1
enforceReAuthentication,Enables enforcement of re-authentication.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
enforceReAuthenticationDurationInMinutes,Defines re-authentication validity duration in minutes.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
entryTimeInLimit,Defines buffer time for entry in the 2-step check-in/checkout process.,Visitor Management Service,1
entryType,(Inferred) Defines the default physical entry categorization code logged during a guard scan.,GUARD-APP,1
env,Defines the environment to which the site is mapped.,GUARD-APP,1
expiredRequestNotificationEnabled,Controls whether notifications are sent when booking approval requests expire.,WIS-SEAT-BOOKING,1
expiryCutOffInMinutes,"[Booking Rule Engine] Automatically cancels a booking and frees the desk if the user hasn't checked in within X minutes of their start time.

[WIS-SEAT-BOOKING] Controls when a pending seat booking request should be treated as expired.",Booking Rule Engine; WIS-SEAT-BOOKING,2
expiryNotificationCutOffInMinutes,Defines how many minutes before a booking approval request expires. Used in conjunction with expiryCutOffInMinutes for approval-flow reminders.,WIS-SEAT-BOOKING,1
extCheckinToBookingBuffer,Buffer time allowed between an external check-in (like badging at the turnstile) and the system confirming the desk booking.,Booking Rule Engine,1
externalEmployeeList,Stores external stakeholder email and name details.,Visitor Management Service,1
externalStaffUi,Defines External Staff UI URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
fabDisplayNames,Defines FAB display names.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
featureBookingBuids,(Inferred) Defines specific Business Unit IDs (BUIDs) where Guard App feature booking is active.,GUARD-APP,1
featurePhoneEnabled,(Inferred) Controls the enablement of phone/dialer features within the Guard App interface.,GUARD-APP,1
FILE_BASED_UPLOAD,Enables Desk bulk upload option in Seat Management.,PROJECT-MANAGEMENT-SERVICES,1
filterNoAvailableSeatInFloor,Filters floors without available seats.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
FLOOR_VIEW,Controls the group type configuration for hierarchy setup on the floor plan.,GUARD-APP,1
floorKioskConfigs,Defines Floor Kiosk configurations in Settings.,Visitor Management Service,1
floorManagement,Defines Floor Management URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
floorPlan,Defines primary Floor Plan URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
floorPlanUI,Defines Floor Plan UI URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
FORECAST_ENABLED,Enables the Desk Forecasting feature.,PROJECT-MANAGEMENT-SERVICES,1
forecastingColumns,"[WIS-SEAT-BOOKING] Defines the column mapping and labels used in forecasting reports.

[GUARD-APP] Defines the set of data columns displayed in forecasting reports.",WIS-SEAT-BOOKING; GUARD-APP,2
forecastingEfficiancy,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
forms_configurations,Controls belongings configuration for VMS self check-in flow.,Visitor Management Service,1
formsMetaDataForHost,Controls host-side custom fields in invited flow.,Visitor Management Service,1
formsMetaDataForHostPWC,Handles host-side custom fields and belongings in invited flow (PWC).,Visitor Management Service,1
formsMetaDataForVisitor,Controls visitor-side custom fields in invited flow.,Visitor Management Service,1
formsMetaDataForVisitorPWC,Handles visitor-side custom fields and belongings in invited flow (PWC).,Visitor Management Service,1
formsMetaDataForWalkIn,Handles custom fields and belongings for Walk-in flow.,Visitor Management Service,1
FRONT_DESK,Enables Visitor Management for Front Desk.,PROJECT-MANAGEMENT-SERVICES,1
front_desk_configurations,Defines core functionalities visible on Front Desk.,Visitor Management Service,1
gender,Controls whether the Gender field is shown or hidden during employee profile validation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
generateGatepassDelayCutOff,Defines minutes after booking start when DigiPass generation is allowed.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
GLOBAL ADMIN,Configures Global Admin role access.,PROJECT-MANAGEMENT-SERVICES,1
groupTypes,Defines the group types used for hierarchy setup.,GUARD-APP,1
guardAppCutOffTime,Defines the cutoff time for guard application actions such as entry validation.,GUARD-APP,1
GUEST_BULK_UPLOAD,Enables bulk upload option for visitors.,Visitor Management Service,1
hideBookingTimeMealOnly,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
HideCancelButton,Controls visibility of the Cancel button on the Meeting Room Kiosk at room level.,MEETING ROOMS,1
HideCheckInButton,Controls visibility of the check-in button on the Meeting Rooms Kiosk screen.,MEETING ROOMS,1
HideEndButton,Controls visibility of the End Now button on the Meeting Rooms Kiosk screen.,MEETING ROOMS,1
HideExtendButton,Controls visibility of the Extend on the Meeting Rooms Kiosk screen.,MEETING ROOMS,1
HideMeetingTitle,Controls visibility of the meeting title.,MEETING ROOMS,1
HideOrganizerName,Controls visibility of the organizer name on the Meeting Rooms Kiosk screen.,MEETING ROOMS,1
HideStartMeetingButton,Controls visibility of the Start Meeting button on the Meeting Room Kiosk.,MEETING ROOMS,1
hierarchy,Defines organizational hierarchy levels.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
homeGeocode,Controls whether the Home Geocode field is shown or hidden during employee profile validation.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
hostNotifications,Controls host notifications (backend property).,Visitor Management Service,1
HR MANAGER,Configures HR Manager role access.,PROJECT-MANAGEMENT-SERVICES,1
hr_manager,Configures HR Manager role access.,PROJECT-MANAGEMENT-SERVICES,1
iadeaLightsBrightness,This property controls colour and brightness of led lights of IADEA Device for Meeting Rooms Kiosk.,MEETING ROOMS,1
identification,Allows enablement of identification on front desk.,Visitor Management Service,1
igonreErrorOfArrogyaSetu,Ignores Aarogya Setu app status check errors.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
includeChildHierarchy,Controls inclusion of child hierarchy levels.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
INDEMNIFICATION_REASONS,Defines available indemnification reasons.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
industryStandard,Controls industry standard values on Admin Dashboard metric cards.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
INVITE_VISITOR,Enables the Visitor Management > Invite Visitor page in the sidenav.,PROJECT-MANAGEMENT-SERVICES,1
INVITE_VISITOR_FROM_ROOMS,Enabled the Meeting and Visitor booking workflow from meeting booking from on web and mobile.,MEETING ROOMS,1
INVITE_VISITOR_ROOMS,Enables Invite Visitor tab within the Meeting Rooms Outlook Add-in.,MEETING ROOMS,1
inviteFormDefaultOfficeSelection,Defines default office selection in Invite Visitor form.,Visitor Management Service,1
is2StepCheckInEnabled,Enables 2-step check-in and check-out process.,Visitor Management Service,1
IS_RICHEMONT,Enables Richemont-specific workflow configurations.,MEETING ROOMS,1
IS_WIS_CALENDAR,Indicates whether the BUID has Native Meeting Room setup enabled.,MEETING ROOMS,1
isAmenitiesFilter,Enables amenities filter in desk booking.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isAppFeedbackEnabled,Enables app feedback feature.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isAutoAbsentEnabled,Enables auto-absent feature and automatic seat release if check-in does not occur within cutoff.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isAutoEntryAllowed,Automatically switches to the next DigiPass scan mode after the first scan is completed.,GUARD-APP,1
isAutoProvision,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isBlSubblBuid,Enables N-level hierarchy/Business Line feature for BU.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isBookingForNonRegisteredEmpBySpocConfigEnabled,Controls whether a SPOC is allowed to create bookings for non-registered employees via SPOC flows (Work Planner / Booking for Someone Else flow).,PROJECT-MANAGEMENT-SERVICES,1
isBuNudgeNotifEnabled,Enables weekly nudge notifications for users without bookings.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isCalendarInviteEnabled,"[Booking Rule Engine] Triggers an automated calendar invite (.ics) to the user's email upon booking a seat.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Enables calendar invite option.",Booking Rule Engine; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
isCheckinNotificationEnabled,Enables notification after successful check-in.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isCheckInReminderOnMsTeamEnabled,true,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isCoreBuid,"Tells the Guard service which BUID is the ""primary"" (default) site for that Guard configuration block.",GUARD-APP,1
isDelegationEnabled,Master switch enabling Delegation feature.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isDynamicFieldsMandatory,"[EMP_EXP_INTERNAL_CONFIGURATION] To make dynamic field mandatory.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Makes dynamic fields mandatory.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
isEditEndTimeOnFrontDeskEnabled,Enables editing of invite end time on Front Desk.,Visitor Management Service,1
isEmployeeFlowEnabled,Enables employee check-in flow on kiosk.,Visitor Management Service,1
isGDPRCookiePolicyEnabled,Displays GDPR compliance pop-up in mobile app.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
IsGuestWifiEnabled,Enables or disables Guest Wi-Fi.,Visitor Management Service,1
isMasterNudgeNotifEnabled,Controls master nudge notifications.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isMultipleScan,Controls whether a QR code can be scanned multiple times for the same context.,GUARD-APP,1
isPhoneValidationOptional,Controls whether phone number is optional or mandatory during employee registration.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isReportingAndAnalyticEnable,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isSeatBookingAssignment,Controls seat assignment feature.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isSendEmailOnHighTemperature,Sends email notifications to configured stakeholders when an employee's temperature meets or exceeds the maximum threshold during guard app check-in.,GUARD-APP,1
isShuttleRequired,Replaces cab labels and icons with shuttle terminology across modules.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
isSummedFloorCapacity,"When enabled, the system calculates total seat capacity by summing floor capacities; when disabled, seat capacity can be manually defined.",GUARD-APP,1
isTemperatureScanEnabled,Enables the temperature scan feature.,GUARD-APP,1
isTemporaryCheckoutEnabled,Enables temporary checkout option on Front Desk.,Visitor Management Service,1
isVisitorCheckinMsTeamsNotificationEnabled,Enables visitor check-in notifications via email and MS Teams.,Visitor Management Service,1
isVisitorCheckoutMsTeamsNotificationEnabled,Controls visitor check-out notifications on MS Teams.,Visitor Management Service,1
isZedaReleaseNoteEnabled,Displays Zeda widget showcasing new features and feedback.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
jobTitleWiseCalenderInDays,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
KIOSK_IMAGE_FOR_OFFICE,Controls whether a kiosk image is applied at the office level (instead of per-room / per-kiosk only).,MEETING ROOMS,1
kioskDefaultImage,Defines the default image displayed on kiosks across the BUID.,MEETING ROOMS,1
kioskInviteOptions,Controls QR-based check-in and check-out options on kiosk.,Visitor Management Service,1
landingPlanHeaders,Headers for landing plan.,WIS-SEAT-BOOKING,1
landmark,Controls visibility of Landmark field during registration.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
lastSwipeAsCheckoutTimeForBUID,Uses the last swipe checkout time as final checkout instead of auto-checkout for access card integration clients.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
listOfEligibleBuidsForAutoClockout,Defines BUs eligible for auto clock-out.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
listOfEligibleBuidsForBusNotification,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
listOfIpsWithRange,Defines whitelisted IP addresses or IP ranges for office check-in restrictions.,GUARD-APP,1
LOAD_COMMON_PROFILE_PAGE,Enables the default WIS profile page.,PROJECT-MANAGEMENT-SERVICES,1
LOGOUT_CANCELLED_HEADER,The subject line/header for the automatic logout cancellation notification.,EMAIL_EMPLOYEE_EXPERIENCE,1
LOGOUT_CANCELLED_MESSAGE,The body text for the automatic logout cancellation push notification.,EMAIL_EMPLOYEE_EXPERIENCE,1
LOGOUT_SCHEDULE_CANCELLATION,Defines the email template notifying an employee that their Evening (Logout) cab was auto-canceled because they didn't show up for their Morning (Login) cab.,EMAIL_EMPLOYEE_EXPERIENCE,1
madatoryFieldforScheduling,"(Inferred) Defines the list of mandatory fields (e.g., ADDRESS, GENDER, OFFICE, MOBILE) required when an employee is scheduling a trip/booking.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
mandateAcceptNda,NDA mandatory?,Visitor Management Service,1
mapSchedulesToBooking,Automatically maps schedules to matching bookings.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
MASS_MAIL_SENDER_LIST,"Defines the default ""From"" email address (e.g., transport@moveinsync.com) used when broadcasting mass communications.",EMAIL_EMPLOYEE_EXPERIENCE,1
maxDurationInMinutes,Defines maximum duration for meeting room bookings.,MEETING ROOMS,1
maximumCharacterLimit,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
maxShiftDuration,"The maximum duration of a single booking (e.g., 1440 minutes = 24 hours).",Booking Rule Engine,1
maxTemperatureAllowed,Defines the maximum temperature threshold allowed for entry validation.,GUARD-APP,1
maxTripLevelNonComplianceEventsAllowed,maxTripLevelNonComplianceEventsAllowed,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
mealCutoffInMinutes,Defines meal booking cutoff calculated from 00:00 of booked date.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
mealFeedbackEnabled,Enables meal feedback feature and reporting.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
mealMailList,Defines email recipients for catering-related communications.,MEETING ROOMS,1
mealPlanningEnabled,Enables meal booking via Work Planner.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
mealPlanningMandatory,Makes meal selection mandatory in office booking form.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
medicalEmergencyRequest,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
MEETING_EMAIL_OTP_TO_AUTHENTICATE,Controls the OTP notifcation send via email to verify end or cancellation of meeting bookings via meeting room kiosk.,MEETING ROOMS,1
MEETING_END_NOTIFICATION,Controls the notification sent when the meeting has ended via meeting room kiosk.,MEETING ROOMS,1
MEETING_ROOM_ENABLED,Enables the Meeting Room option under Team Manager Dashboard.,PROJECT-MANAGEMENT-SERVICES,1
MEETING_ROOM_RELEASE_IF_NO_CHECKIN,Releases room if check-in does not occur within configured minutes.,MEETING ROOMS,1
MEETING_ROOM_SYNC_JOB_EMAIL_LIST,Defines email recipients for meeting room sync job notifications.,MEETING ROOMS,1
MEETING_START_NOTIFICATION,Controls the notification sent when the meeting has started via meeting room kiosk.,MEETING ROOMS,1
Meeting_Title_Catering_Order,Controls display of meeting title in the Catering Dashboard detailed view.,MEETING ROOMS,1
meetingDetailsForDateUrl,Defines Meeting Details by date URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
meetingOptionWebViewUrl,Defines Meeting Room web view URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
meetingRoomCheckInCutOff,Defines the cutoff for the visiblity of the checkin button on the meeting rooms web and mobile view.,MEETING ROOMS,1
meetingRoomCost,Controls display of meeting room cost in the UI for web and mobile view.,MEETING ROOMS,1
meetingRoomKioskUrl,Defines Meeting Room Kiosk URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
meetingRoomsWidgetEnabled,This property controls whether the meeting rooms widget is displayed in the employee home page on web.,EMP_EXP_INTERNAL_CONFIGURATION,1
meetingRoomUrl,Defines Meeting Room module URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
meetingStartTimeCuttoffInMinutes,Defines the cutoff for how much prior to that start time the booking can be created. Its a booking creation cutoff time. Value is in minutes.,MEETING ROOMS,1
microBookingEnabled,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
minTemperatureAllowed,Defines the minimum temperature threshold allowed for entry validation.,GUARD-APP,1
mobile,Controls whether the Mobile field is shown or hidden during employee profile validation,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
MOBILE_APP_BANNERS,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
mobileNumberLength,Defines required mobile number length.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
mobileSSOMandatory,Removes the 'Continue with OTP' option on the mobile SSO login screen.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
mobilityHealthStatus,Displays driver vaccination details on the Tracking page.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
MONTHLY_NO_SHOW_ACTION_EMAIL,Defines the penalty email template tied to exceeding the monthly No-Show limit.,EMAIL_EMPLOYEE_EXPERIENCE,1
MONTHLY_NO_SHOW_WARNING_EMAIL,Defines the warning email template specifically tied to the monthly No-Show threshold (rather than a rolling date range).,EMAIL_EMPLOYEE_EXPERIENCE,1
MSU,Configures MSU role access.,PROJECT-MANAGEMENT-SERVICES,1
MULTI_DOMAIN,Controls multiple domains in a single BUID (for clients like MAF).,MEETING ROOMS,1
MULTIPLE_BOOKINGS_ENABLED,Enables creation of multiple bookings from Work Planner.,PROJECT-MANAGEMENT-SERVICES,1
multipleBookingsOnASeatInADayAllowed,"[Booking Rule Engine] Allows different employees to book the same physical seat at different times of the day (e.g., morning shift vs. evening shift).

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Allows multiple bookings on the same seat within a single day.",Booking Rule Engine; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
multipleScanErrorMessage,Defines error message for multiple scans.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
MY_BOOKINGS_ENABLED,Enables the My Bookings option under Team Manager Dashboard.,PROJECT-MANAGEMENT-SERVICES,1
name,Controls whether the Name field is shown or hidden during employee profile validation,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
nativeRoomEmail,Displays room email ID input in new room workflow.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
ndaCheckbox,Controls NDA checkbox visibility.,Visitor Management Service,1
ndaCheckboxContent,Defines content displayed below NDA checkbox.,Visitor Management Service,1
ndaPagePosition,Position of NDA.,Visitor Management Service,1
neighbourSeatsRadius,Defines the radius within which a seat cannot be booked.,GUARD-APP,1
new_seat_booking_url,Defines the new Seat Booking URL.,PROJECT-MANAGEMENT-SERVICES,1
nextDayLogoutEnabled,Allows users working overnight shifts to have their check-out time roll over into the next calendar day.,Booking Rule Engine,1
NO_SHOW_ACTION_AT_MONTH_END_BANNER_MESSAGE,The warning banner displayed inside the employee app regarding impending month-end No-Show penalties.,EMAIL_EMPLOYEE_EXPERIENCE,1
NO_SHOW_ACTION_EMAIL,Defines the email template notifying an employee that their future schedules have been deleted and/or scheduling rights revoked due to exceeding the No-Show limit.,EMAIL_EMPLOYEE_EXPERIENCE,1
NO_SHOW_AUTO_APPROVAL_EMAIL,Defines the email template notifying an employee that their transport scheduling rights have been successfully restored.,EMAIL_EMPLOYEE_EXPERIENCE,1
NO_SHOW_COUNT_BANNER_ENABLED,Controls no-show banner visibility.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
NO_SHOW_PERMISSION_ACTION_EMAIL,Defines the email template notifying an employee of the Approved/Rejected status of their No-Show enforcement appeal.,EMAIL_EMPLOYEE_EXPERIENCE,1
NO_SHOW_POLICY_RE_INSTANTIATION_EMAIL,Defines the email template sent to a manager/admin requesting approval to restore an employee's transport rights after a suspension.,EMAIL_EMPLOYEE_EXPERIENCE,1
NO_SHOW_WARNING_EMAIL,Defines the email template warning an employee that they are approaching the maximum allowed No-Shows before penalties apply.,EMAIL_EMPLOYEE_EXPERIENCE,1
nodal,Controls whether the Nodal Point field is shown or hidden during employee profile validation,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
noOfDaysAllowedInPlanner,Defines allowed planning window.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
notesToAdmins,Enables optional notes to admins via email.,Visitor Management Service,1
noteToFrontDesk,Enables optional notes to receptionist/security via email.,Visitor Management Service,1
notificationConfigs,Defines notification page configuration values.,Visitor Management Service,1
notificationMetaData,Defines metadata configuration for notification page.,Visitor Management Service,1
numberOfAllowedTrips,Defines maximum trips per user.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
office,Controls whether the Office field is shown or hidden during employee profile validation,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
OFFICE ADMIN,Configures Office Admin role access.,PROJECT-MANAGEMENT-SERVICES,1
office_name,"The office label used to scope rooms and MR configs to that office. If it doesn't match the server office name, rooms/configs for that office will show as expected.",MEETING ROOMS,1
OFFICE_PREMISE_NAME,Defines the office mapping for meeting room via meeting room sync.,MEETING ROOMS,1
OFFICE_SELECTION_ENABLED,Enables Office Selection under Team Manager Dashboard.,PROJECT-MANAGEMENT-SERVICES,1
OFFICE_TO_HOME_DISTANCE_VALIDATION_FAILED_MESSAGE,Error message displayed when the actual driving route distance exceeds the company's allowed limit.,EMAIL_EMPLOYEE_EXPERIENCE,1
officeCheckInMode,Configures office check-in mode for mobile.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
officeCheckInModeApp,Configures office check-in mode for mobile app.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
officeCheckInModeWeb,Configures office check-in mode for web.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
officeCheckInReminderEmailEnabled,Controls office check-in reminder emails.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
old_seat_booking_url,Defines the old Seat Booking URL.,PROJECT-MANAGEMENT-SERVICES,1
onBehalfBookingEmailToCreatorEnabled,Controls on-behalf booking email notification to creator.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
onlyParkingBookingEnabled,Displays only the Parking booking option on Employee Home and FAB for clients using MoveInSync exclusively for parking.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
organiserBookingEmailsMeetingRooms,Controls whether the organizer receives booking emails.,MEETING ROOMS,1
OUTLOOK_WO_ADMIN_CONSENT,"This controls the ""room email id"" field in the room details section of Meeting Rooms Settings page. This is needed for an integrated setup.",MEETING ROOMS,1
overStayAlertBuffer,Defines buffer time (in minutes) after end time to trigger overstay alerts.,Visitor Management Service,1
overStayAlertMsTeamsTemplate,Defines MS Teams template for overstay alerts.,Visitor Management Service,1
overStayAlertRecipients,Defines recipient list for overstay alerts.,Visitor Management Service,1
overstayTriggerList,Defines channels (MS Teams/Email) for overstay alerts.,Visitor Management Service,1
PARKING_ALLOCATION,Enables the Parking Allocation page in the sidenav.,PROJECT-MANAGEMENT-SERVICES,1
PARKING_TAGGING_ENABLED,Enables the Parking Tagging option.,PROJECT-MANAGEMENT-SERVICES,1
parkingAllocationUrl,Defines Parking Allocation URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
parkingBookingMandatory,Makes parking booking mandatory for office booking.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
parkingEnabled,Enables parking option in the booking form.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
parkingEndCutOffInMinute,Defines minutes after booking start when parking QR can be generated.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
parkingExpiry,Defines expiry time of generated parking QR.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
parkingMailNotificationMinutes,Defines parking email trigger minutes.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
parkingReminderEmailEnabled,"[EMP_EXP_INTERNAL_CONFIGURATION] This property controls whether parking reminder emails are enabled.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Controls parking reminder emails.",EMP_EXP_INTERNAL_CONFIGURATION; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
parkingScheduleCutoff,Defines advance booking window for parking.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
parkingStartCutOffInMinute,Defines minutes before booking start when parking QR can be generated.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
parkingTagHeaders,Headers for parking tag.,WIS-SEAT-BOOKING,1
pendingRequestsNotificationEnabled,"[WIS-SEAT-BOOKING] Controls whether notifications are sent for pending booking approval requests.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Controls pending request notifications.",WIS-SEAT-BOOKING; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
pmsEnabled,Controls whether the Property Management System (PMS) integration is enabled.,GUARD-APP,1
PRE_TRIP_CANCELLATION_NOTIFICATION_MINUTES_BEFORE_LOGIN_CANCELLATION_CUTOFF,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
PRE_TRIP_CANCELLATION_NOTIFICATION_MINUTES_BEFORE_LOGOUT_CANCELLATION_CUTOFF,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
preferencesFloorPlanUrl,Defines Preferences floor plan URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
preFillVisitorPhotoForExistingVisitor,Allows pre-filling of visitor photo for existing visitors.,Visitor Management Service,1
PREMISES_ENABLED,Enables the Premises page in the sidenav.,PROJECT-MANAGEMENT-SERVICES,1
premiseUI,Defines Premises management UI URL.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
Print_Visitor_Badge,Enables Print Badge button on Front Desk dashboard.,Visitor Management Service,1
profileFieldsMetaData,Handles profile fields configuration for invited flow.,Visitor Management Service,1
profileRegistrationEmailSubject,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
projectCodeEnabledOnBooking,Controls Project Code field visibility.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
projectCodeEnabledOnBookingMandatory,Controls mandatory Project Code field.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
projectCodeMandatoryFor,Makes Project Code field mandatory for specified booking types.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
projectmgr,Configures Project Manager role access.,PROJECT-MANAGEMENT-SERVICES,1
promotionBannerUrl,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
promotionDisplayText,,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
qrImageClientLogoUrl,Controls the URL of the client logo displayed on generated QR codes.,GUARD-APP,1
qrImagefooterUrl,Controls the URL of the footer image displayed on generated QR codes.,GUARD-APP,1
qRScannerEndCutOffInMinute,"[Booking Rule Engine] How many minutes after a shift starts the QR code remains valid for check-in before the desk is forfeited.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Defines minutes after booking start when Scan QR becomes inactive.",Booking Rule Engine; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
qRScannerExpiry,Defines expiry time of QR scanner after booking start.,EMPLOYEE-EXPERIENCE-COMMON-CONFIG,1
qRScannerStartCutOffInMinute,"[Booking Rule Engine] How many minutes before a shift starts that an employee is allowed to scan the desk QR code to check in.

[EMPLOYEE-EXPERIENCE-COMMON-CONFIG] Defines minutes before booking start when Scan QR becomes active.",Booking Rule Engine; EMPLOYEE-EXPERIENCE-COMMON-CONFIG,2
RADIAL_DISTANCE_VALIDATION_FAILED_MESSAGE,Error message displayed when an employee's address exceeds the maximum allowed straight-line (radial) distance from the office.,EMAIL_EMPLOYEE_EXPERIENCE,1
